Order,Frequency,Vpc,Vs,Is,Ib1,Ib2,Vline
      211,28018.7,0.000130002,2.09258e-006,2.15418e-005,0.000198215,0.000180674,0.000129421
      212,28152.1,0.00215041,2.12012e-006,0.000457625,0.00138579,0.00171113,0.00215025
      213,28285.5,0.00956087,2.10739e-006,0.0020488,0.006795,0.00822458,0.00956075
      214,28418.9,0.653934,2.33486e-006,0.140284,0.473117,0.570527,0.653936
      215,28552.4,0.0175103,2.08463e-006,0.00375529,0.0125552,0.0151742,0.0175102
      216,28685.8,0.00321411,2.08681e-006,0.00068857,0.00217338,0.00266909,0.0032139
      217,28819.2,0.000639908,2.09822e-006,0.000135487,0.000193677,0.000314193,0.000639111
      218,28952.6,0.0013617,2.07672e-006,0.000288655,0.00143298,0.00155659,0.00136111
      219,29086.1,0.00734561,2.08549e-006,0.00156458,0.0069795,0.00781051,0.00734526
      220,29219.5,0.494496,3.66564e-006,0.105318,0.462744,0.520299,0.494495
      221,29352.9,0.0139536,2.08865e-006,0.00297397,0.0131104,0.0147125,0.0139533
      222,29486.3,0.00237575,2.04631e-006,0.000509878,0.00226346,0.00251039,0.00237529
      223,29619.7,0.000361396,2.07825e-006,7.7403e-005,0.000210732,0.000189948,0.000359435
      224,29753.2,0.00180529,2.02708e-006,0.000363138,0.00146159,0.00175181,0.0018048
      225,29886.6,0.00836736,2.0317e-006,0.00170207,0.00712115,0.00838159,0.00836705
      226,30020,0.527138,3.45818e-006,0.107365,0.450639,0.528944,0.527136
      227,30153.4,0.015888,2.03202e-006,0.00323673,0.0136101,0.0159878,0.0158876
      228,30286.9,0.00267102,1.99251e-006,0.000546281,0.00234501,0.00276498,0.00267062
      229,30420.3,0.000320267,1.98491e-006,6.36635e-005,0.000232805,0.000294458,0.000318326
      230,30553.7,0.00216656,1.96658e-006,0.000426512,0.00146938,0.00170195,0.00216625
      231,30687.1,0.00987485,1.94644e-006,0.00195828,0.0071786,0.00834101,0.00987469
      232,30820.5,0.589592,1.83636e-006,0.117052,0.434439,0.504842,0.589594
      233,30954,0.0191079,1.91627e-006,0.00379247,0.013961,0.0162326,0.0191078
      234,31087.4,0.00348012,1.92953e-006,0.000690164,0.0023907,0.00279594,0.00347992
      235,31220.8,0.000721847,1.88221e-006,0.000143062,0.000232765,0.000310768,0.000721382
      236,31354.2,0.0012298,1.91176e-006,0.000242869,0.0015045,0.00168044,0.00122955
      237,31487.7,0.00706186,1.884e-006,0.00139424,0.00731426,0.00825686,0.00706178
      238,31621.1,0.419764,5.43006e-007,0.0828103,0.423424,0.479011,0.419765
      239,31754.5,0.0141683,1.84199e-006,0.00279818,0.0144639,0.0163414,0.0141682
      240,31887.9,0.00221934,1.88085e-006,0.000443113,0.0024654,0.00275827,0.00221928
      241,32021.3,0.000122835,1.85536e-006,1.76214e-005,0.000240585,0.000223203,0.000123422
      242,32154.8,0.00226791,1.8761e-006,0.000425908,0.00154232,0.0018527,0.00226804
      243,32288.2,0.00996732,1.87221e-006,0.00188773,0.00747722,0.00882658,0.00996741
      244,32421.6,0.543657,2.57534e-006,0.103079,0.414623,0.487884,0.543655
      245,32555,0.0198342,1.86176e-006,0.00376075,0.0150406,0.0177266,0.0198342
      246,32688.5,0.00348854,1.85386e-006,0.0006627,0.00255898,0.00305014,0.00348872
      247,32821.9,0.000604134,1.87746e-006,0.000116346,0.000265851,0.000376051,0.000605075
      248,32955.3,0.00177349,1.8479e-006,0.000325918,0.00155131,0.00169393,0.00177402
      249,33088.7,0.00888043,1.86449e-006,0.00164568,0.00754411,0.00842387,0.00888076
      250,33222.1,0.474526,3.51343e-006,0.0880172,0.40157,0.450015,0.474527
      251,33355.6,0.0182712,1.88419e-006,0.00338922,0.015445,0.0172848,0.0182716
      252,33489,0.00315386,1.82591e-006,0.000585996,0.00261519,0.00290195,0.00315429
      253,33622.4,0.000598911,1.85212e-006,0.000111314,0.000274406,0.000269585,0.000600362
      254,33755.8,0.0018213,1.80638e-006,0.000327754,0.00157222,0.00185477,0.00182191
      255,33889.3,0.00867607,1.80902e-006,0.00157249,0.007631,0.00886729,0.00867645
      256,34022.7,0.444014,2.97437e-006,0.0805345,0.39013,0.452331,0.444016
      257,34156.1,0.018032,1.81173e-006,0.00327099,0.0158914,0.0184349,0.0180323
      258,34289.5,0.00295791,1.77723e-006,0.000537475,0.00267518,0.00311119,0.00295837
      259,34422.9,0.000385885,1.75775e-006,6.48137e-005,0.000276318,0.000337906,0.000387615
      260,34556.4,0.00231997,1.75303e-006,0.000409746,0.00161223,0.00185262,0.00232023
      261,34689.8,0.0104027,1.72665e-006,0.00185023,0.00778964,0.0089641,0.0104028
      262,34823.2,0.503991,1.21801e-006,0.0897181,0.382698,0.44028,0.50399
      263,34956.6,0.0218821,1.68508e-006,0.0038954,0.0164983,0.0189947,0.0218822
      264,35090.1,0.00386574,1.72172e-006,0.000689144,0.00276999,0.00321163,0.00386586
      265,35223.5,0.00074865,1.6773e-006,0.000136016,0.000298724,0.000392807,0.000748784
      266,35356.9,0.00140897,1.71107e-006,0.000243223,0.0016285,0.00177966,0.00140885
      267,35490.3,0.00788712,1.68557e-006,0.00137364,0.00788143,0.00874364,0.00788699
      268,35623.7,0.381795,1.0001e-006,0.0665274,0.372806,0.414794,0.381794
      269,35757.2,0.017234,1.64201e-006,0.00300465,0.0169893,0.0188732,0.0172338
      270,35890.6,0.00269587,1.68855e-006,0.000473098,0.0028422,0.0031195,0.00269567
      271,36024,0.000279354,1.67915e-006,4.7135e-005,0.000316325,0.000280571,0.0002777
      272,36157.4,0.00246739,1.69081e-006,0.000414011,0.00163829,0.00197248,0.0024671
      273,36290.9,0.0107643,1.69729e-006,0.00181845,0.00793509,0.0093383,0.0107641
      274,36424.3,0.482287,2.74759e-006,0.0815592,0.361756,0.424064,0.482288
